d_fecha_prod,TipoAlimento,CategoriaAlimento,Semana,SemanaNum,Anio,kwh_prensa,porc_prensa,Rendimiento,ton
2025-06-24 00:00:00,N1,Broiler,2025-06-23 00:00:00,S26,2025,8.449928166023742,77.24744945651332,31.3953488372093,120618.41
2025-06-24 00:00:00,N2,Broiler,2025-06-23 00:00:00,S26,2025,8.5,78,31.858407079646017,60213.95
2025-06-24 00:00:00,N3,Broiler,2025-06-23 00:00:00,S26,2025,8.592879435982404,78.92830289150046,32.51231527093596,140395.62
2025-06-24 00:00:00,N4,Broiler,2025-06-23 00:00:00,S26,2025,8.7297749808918,79.89812483411811,31.818181818181817,100297.26
2025-06-24 00:00:00,N0,Broiler,2025-06-23 00:00:00,S26,2025,8.8,85,26.47058823529412,30097.44
2025-06-24 00:00:00,AM,Abuela,2025-06-23 00:00:00,S26,2025,10.3,57.00000000000001,24,6026.46
2025-06-23 00:00:00,N3,Broiler,2025-06-23 00:00:00,S26,2025,8.499984368875943,79.33306385408206,33.027522935779814,120530.68
2025-06-23 00:00:00,N4,Broiler,2025-06-23 00:00:00,S26,2025,8.5,78,32.14285714285714,30131.7
2025-06-23 00:00:00,N2,Broiler,2025-06-23 00:00:00,S26,2025,8.579907752530636,79.59815505061273,32.37410071942446,150512.53
2025-06-23 00:00:00,N0,Broiler,2025-06-23 00:00:00,S26,2025,8.6,80,29.032258064516125,30000
2025-06-23 00:00:00,N1,Broiler,2025-06-23 00:00:00,S26,2025,8.633364985709417,80.00047478564125,30.379746835443036,120549.86
2025-06-21 00:00:00,N1,Broiler,2025-06-16 00:00:00,S25,2025,10.7,87,29.508196721311478,29907.67
2025-06-20 00:00:00,N1,Broiler,2025-06-16 00:00:00,S25,2025,9.95010550497139,85.16709873358391,30.100334448160535,179555.52
2025-06-20 00:00:00,N3,Broiler,2025-06-16 00:00:00,S25,2025,10.29374929916828,86.93749299168277,30.798479087452467,191468.93
2025-06-20 00:00:00,N2,Broiler,2025-06-16 00:00:00,S25,2025,10.3,87.00000000000001,30.681818181818183,89747.68
2025-06-20 00:00:00,N4,Broiler,2025-06-16 00:00:00,S25,2025,10.400007271955246,86.99999999999999,29.032258064516125,59818.85
2025-06-20 00:00:00,AP1,Abuela,2025-06-16 00:00:00,S25,2025,10.6,88,,17910.11
2025-06-20 00:00:00,AP2,Abuela,2025-06-16 00:00:00,S25,2025,10.7,88,,9941.84
2025-06-20 00:00:00,N0,Broiler,2025-06-16 00:00:00,S25,2025,10.8,88,29.032258064516125,59851.9
2025-06-19 00:00:00,N3,Broiler,2025-06-16 00:00:00,S25,2025,10.289294519679544,86.89288410049268,30.638297872340424,167604.25
2025-06-19 00:00:00,N2,Broiler,2025-06-16 00:00:00,S25,2025,10.314282957922531,87.00000000000001,30.806845965770172,209541.12
2025-06-19 00:00:00,N1,Broiler,2025-06-16 00:00:00,S25,2025,10.63995799524562,87.39993418123186,29.411764705882355,149592.59
2025-06-19 00:00:00,AP2,Abuela,2025-06-16 00:00:00,S25,2025,11.2,88,27,17927.56
2025-06-19 00:00:00,AP4,Abuela,2025-06-16 00:00:00,S25,2025,11.2,88,28.235294117647058,7973.76
2025-06-19 00:00:00,N4,Broiler,2025-06-16 00:00:00,S25,2025,11.46819074182875,88,29.26829268292683,43862.01
2025-06-18 00:00:00,N2,Broiler,2025-06-16 00:00:00,S25,2025,10.527600365983625,87.41389967816218,30.348837209302324,173515.96
2025-06-18 00:00:00,N1,Broiler,2025-06-16 00:00:00,S25,2025,10.785722565039897,87.85722565039896,28.301886792452827,69777.94
2025-06-18 00:00:00,N3,Broiler,2025-06-16 00:00:00,S25,2025,10.786972390758839,87.56526738276864,29.11242603550296,275212.2
2025-06-18 00:00:00,N0,Broiler,2025-06-16 00:00:00,S25,2025,10.8,88,,29933.65
2025-06-18 00:00:00,AP3,Abuela,2025-06-16 00:00:00,S25,2025,11.1,87,26.08695652173913,9942.84
2025-06-18 00:00:00,N4,Broiler,2025-06-16 00:00:00,S25,2025,11.647599495618419,88,28.363636363636363,41880.99
2025-06-17 00:00:00,N1,Broiler,2025-06-16 00:00:00,S25,2025,10.399992893145368,87.37500528000443,28.57142857142857,79782.13
2025-06-17 00:00:00,AP1,Abuela,2025-06-16 00:00:00,S25,2025,10.599999999999998,87,30,27954.81
2025-06-17 00:00:00,N2,Broiler,2025-06-16 00:00:00,S25,2025,10.600000000000001,87,29.67032967032967,89728.41
2025-06-17 00:00:00,N3,Broiler,2025-06-16 00:00:00,S25,2025,10.97503814422377,87,30.1255230125523,119677.36
2025-06-17 00:00:00,N0,Broiler,2025-06-16 00:00:00,S25,2025,11.066687019212878,87.3334704159028,29.26829268292683,89751.26
2025-06-17 00:00:00,N4,Broiler,2025-06-16 00:00:00,S25,2025,11.2,88,29.508196721311478,29891.23
2025-06-16 00:00:00,N3,Broiler,2025-06-16 00:00:00,S25,2025,10.219002518156701,87.23798676372255,30.98360655737705,125981.04
2025-06-16 00:00:00,N2,Broiler,2025-06-16 00:00:00,S25,2025,10.229090425382683,87.20812665675749,30.857142857142854,144001.16
2025-06-16 00:00:00,N0,Broiler,2025-06-16 00:00:00,S25,2025,10.4,87,,29908.43
2025-06-16 00:00:00,N1,Broiler,2025-06-16 00:00:00,S25,2025,10.542990307592879,88.42999104552558,30.167597765363126,209504.2
2025-06-16 00:00:00,A715,Abuela,2025-06-16 00:00:00,S25,2025,10.6,86.00000000000001,27.09677419354839,13983.7
2025-06-16 00:00:00,N4,Broiler,2025-06-16 00:00:00,S25,2025,11.150010353212947,88,29.26829268292683,59981.38
2025-06-16 00:00:00,AM,Abuela,2025-06-16 00:00:00,S25,2025,11.6,87,24,9979.36
2025-06-14 00:00:00,N4,Broiler,2025-06-09 00:00:00,S24,2025,10.4,88,30.545454545454547,27938.51
2025-06-14 00:00:00,AP1,Abuela,2025-06-09 00:00:00,S24,2025,11.1,87,28.235294117647058,15933.29
2025-06-14 00:00:00,AP2,Abuela,2025-06-09 00:00:00,S24,2025,11.2,88,27.272727272727273,9967
2025-06-13 00:00:00,N2,Broiler,2025-06-09 00:00:00,S24,2025,9.960002328241096,87.20009381127588,31.750972762645915,149640.86
2025-06-13 00:00:00,N3,Broiler,2025-06-09 00:00:00,S24,2025,10.100017957053234,86.16597692050796,32.22506393861892,179539.48
